iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
70,0.41125052217284086,35,1749,1678,"[2160 3087 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  621 2218]",948
71,0.4111005708633985,24,2507,2578,"[2160 3087 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  621 2218]",939
72,0.41007846512686275,2,2471,2684,"[2160 3087 2684 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  621 2218]",962
73,0.4100599088506177,7,2692,2693,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  621 2218]",957
74,0.4067068253479258,38,621,618,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  618 2218]",957
75,0.40610204063048083,29,734,804,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2218]",957
76,0.4070488588890772,9,6045,6118,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2218]",975
77,0.40736872756434034,39,2218,2148,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",940
78,0.4077842023441214,21,1546,1545,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",930
79,0.4077258144609948,15,1856,1927,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",941
80,0.4109642892166454,20,3079,3220,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3220 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",903
81,0.41030631427787045,0,2160,1877,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3220 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",953
82,0.41378599751649736,17,1299,380,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3220 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",906
83,0.4125038384852995,20,3220,3151,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",889
84,0.41186279617576693,18,2661,2662,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",913
85,0.4120635416462938,24,2578,2507,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2507 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",889
86,0.4120757144887716,2,2684,771,"[1877 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2507 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",944
