iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
54,0.35292694817058323,22,318,3663,"[4079 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962 2403
 2170 6907 1376 3290 4553 2180 1121 2642 3663 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",933
55,0.3551263142179131,16,1376,7037,"[4079 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962 2403
 2170 6907 7037 3290 4553 2180 1121 2642 3663 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",907
56,0.35558380800448297,16,7037,592,"[4079 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962 2403
 2170 6907  592 3290 4553 2180 1121 2642 3663 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",907
57,0.35255149380279716,13,2403,626,"[4079 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962  626
 2170 6907  592 3290 4553 2180 1121 2642 3663 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",896
58,0.34861462918659836,0,4079,4283,"[4283 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962  626
 2170 6907  592 3290 4553 2180 1121 2642 3663 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",899
59,0.3470920229125981,27,1057,1443,"[4283 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962  626
 2170 6907  592 3290 4553 2180 1121 2642 3663 2214 1878 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",893
60,0.34686482461791684,18,4553,3491,"[4283 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962  626
 2170 6907  592 3290 3491 2180 1121 2642 3663 2214 1878 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",909
61,0.3448851404120875,37,1616,4224,"[4283 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962  626
 2170 6907  592 3290 3491 2180 1121 2642 3663 2214 1878 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224  690 2085]",882
62,0.335575304888162,6,1976,2149,"[4283 3713 4781 2896 1255 6187 2149 2720  812 1017 6688 4022  962  626
 2170 6907  592 3290 3491 2180 1121 2642 3663 2214 1878 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224  690 2085]",917
63,0.3419116333343726,6,2149,1831,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 6688 4022  962  626
 2170 6907  592 3290 3491 2180 1121 2642 3663 2214 1878 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224  690 2085]",917
64,0.33256694586532887,15,6907,6337,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 6688 4022  962  626
 2170 6337  592 3290 3491 2180 1121 2642 3663 2214 1878 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224  690 2085]",912
65,0.33155663522202794,24,1878,1379,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 6688 4022  962  626
 2170 6337  592 3290 3491 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224  690 2085]",908
66,0.32834907098570965,14,2170,1741,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 6688 4022  962  626
 1741 6337  592 3290 3491 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224  690 2085]",910
67,0.33953953647482393,13,626,7260,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 6688 4022  962 7260
 1741 6337  592 3290 3491 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224  690 2085]",890
68,0.33132900311959557,38,690,3235,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 6688 4022  962 7260
 1741 6337  592 3290 3491 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",889
69,0.33661189539970726,18,3491,7181,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 6688 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",912
70,0.3207252636082226,10,6688,5416,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 5416 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",894
71,0.3262465353775198,10,5416,2191,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2588 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",894
72,0.3130647143141583,28,2588,2164,"[4283 3713 4781 2896 1255 6187 1831 2720  812 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2164 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",916
73,0.3247634078808016,3,2896,6759,"[4283 3713 4781 6759 1255 6187 1831 2720  812 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2164 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",923
74,0.3175325425943567,3,6759,2726,"[4283 3713 4781 2726 1255 6187 1831 2720  812 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 2642 3663 2214 1379 2740 4132 1443
 2164 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",923
