iter,fitness,moved_station,old_cell,new_cell,layout
57,0.3215887637139331,13,1692,745,"[3641 3374 4781 2171 1255 4204 1976 2720  812 1108 6688 3646  962  745
 1742 6907 1235 2762 4072 1120 1172 2642 3464 2214 1878 2303 3228 1464
 2880 2175 3145 2432 4081 3650 2261 1749 2732 1616  690 1997]"
58,0.31903678794351054,0,3641,3744,"[3744 3374 4781 2171 1255 4204 1976 2720  812 1108 6688 3646  962  745
 1742 6907 1235 2762 4072 1120 1172 2642 3464 2214 1878 2303 3228 1464
 2880 2175 3145 2432 4081 3650 2261 1749 2732 1616  690 1997]"
59,0.3202220345877397,27,1464,1392,"[3744 3374 4781 2171 1255 4204 1976 2720  812 1108 6688 3646  962  745
 1742 6907 1235 2762 4072 1120 1172 2642 3464 2214 1878 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 1616  690 1997]"
60,0.32786638436458126,18,4072,3010,"[3744 3374 4781 2171 1255 4204 1976 2720  812 1108 6688 3646  962  745
 1742 6907 1235 2762 3010 1120 1172 2642 3464 2214 1878 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 1616  690 1997]"
61,0.32434280983631425,37,1616,3777,"[3744 3374 4781 2171 1255 4204 1976 2720  812 1108 6688 3646  962  745
 1742 6907 1235 2762 3010 1120 1172 2642 3464 2214 1878 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777  690 1997]"
62,0.3208545817410738,6,1976,2449,"[3744 3374 4781 2171 1255 4204 2449 2720  812 1108 6688 3646  962  745
 1742 6907 1235 2762 3010 1120 1172 2642 3464 2214 1878 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777  690 1997]"
63,0.32895919803513246,6,2449,1967,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 6688 3646  962  745
 1742 6907 1235 2762 3010 1120 1172 2642 3464 2214 1878 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777  690 1997]"
64,0.31798467280182424,15,6907,3656,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 6688 3646  962  745
 1742 3656 1235 2762 3010 1120 1172 2642 3464 2214 1878 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777  690 1997]"
65,0.31408964607579726,24,1878,753,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 6688 3646  962  745
 1742 3656 1235 2762 3010 1120 1172 2642 3464 2214  753 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777  690 1997]"
66,0.3135874796903004,14,1742,947,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 6688 3646  962  745
  947 3656 1235 2762 3010 1120 1172 2642 3464 2214  753 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777  690 1997]"
67,0.31955215743741866,13,745,6976,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 6688 3646  962 6976
  947 3656 1235 2762 3010 1120 1172 2642 3464 2214  753 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777  690 1997]"
68,0.3130897781843027,38,690,3663,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 6688 3646  962 6976
  947 3656 1235 2762 3010 1120 1172 2642 3464 2214  753 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
69,0.3090478682800405,18,3010,7252,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 6688 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 2642 3464 2214  753 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
70,0.2954133921077309,10,6688,4215,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 4215 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 2642 3464 2214  753 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
71,0.29429785777164486,10,4215,2566,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 2642 3464 2214  753 2303 3228 1392
 2880 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
72,0.2931683997293171,28,2880,1803,"[3744 3374 4781 2171 1255 4204 1967 2720  812 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 2642 3464 2214  753 2303 3228 1392
 1803 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
73,0.30681150219687503,3,2171,6617,"[3744 3374 4781 6617 1255 4204 1967 2720  812 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 2642 3464 2214  753 2303 3228 1392
 1803 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
74,0.29687984390289873,3,6617,2657,"[3744 3374 4781 2657 1255 4204 1967 2720  812 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 2642 3464 2214  753 2303 3228 1392
 1803 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
