iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
60,0.41192152793718895,39,2782,6047,"[2829 3085 4781 3284 1185 7330 2118 4013  740 2221 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1682  619 6047]",1023
61,0.41362313456086897,8,740,810,"[2829 3085 4781 3284 1185 7330 2118 4013  810 2221 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1682  619 6047]",1020
62,0.4141712875613949,28,3991,4133,"[2829 3085 4781 3284 1185 7330 2118 4013  810 2221 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 4133  733 3811 6406 1461 2254 3652 4575 2027 1682  619 6047]",1069
63,0.41300481401366534,1,3085,3016,"[2829 3016 4781 3284 1185 7330 2118 4013  810 2221 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 4133  733 3811 6406 1461 2254 3652 4575 2027 1682  619 6047]",992
64,0.40971055632089376,33,2254,2395,"[2829 3016 4781 3284 1185 7330 2118 4013  810 2221 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 4133  733 3811 6406 1461 2395 3652 4575 2027 1682  619 6047]",989
65,0.40982219858387264,39,6047,5976,"[2829 3016 4781 3284 1185 7330 2118 4013  810 2221 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 4133  733 3811 6406 1461 2395 3652 4575 2027 1682  619 5976]",1011
66,0.41237789222011173,10,6756,6901,"[2829 3016 4781 3284 1185 7330 2118 4013  810 2221 6901 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 4133  733 3811 6406 1461 2395 3652 4575 2027 1682  619 5976]",987
67,0.4125006572324969,16,1858,2091,"[2829 3016 4781 3284 1185 7330 2118 4013  810 2221 6901 2247 1172 3592
  767 6907 2091 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 4133  733 3811 6406 1461 2395 3652 4575 2027 1682  619 5976]",995
68,0.41050724364477886,15,6907,2783,"[2829 3016 4781 3284 1185 7330 2118 4013  810 2221 6901 2247 1172 3592
  767 2783 2091 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 4133  733 3811 6406 1461 2395 3652 4575 2027 1682  619 5976]",982
69,0.40935798980953275,37,1682,1969,"[2829 3016 4781 3284 1185 7330 2118 4013  810 2221 6901 2247 1172 3592
  767 2783 2091 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 4133  733 3811 6406 1461 2395 3652 4575 2027 1969  619 5976]",995
